Flight Date,Airline,Airline IATA,Flight Number,Departure Airport,Departure IATA,Departure Scheduled,Departure Actual,Departure Delay,Arrival Airport,Arrival IATA,Arrival Scheduled,Arrival Actual,Arrival Delay,Flight Status,Aircraft,Departure Hour,Day of Week,Is Delayed,Route
2026-04-28,Aeroflot,SU,2139,Istanbul Airport,IST,2026-04-28T09:00:00+00:00,2026-04-28T09:13:00+00:00,,Sheremetyevo International,SVO,2026-04-28T13:45:00+00:00,2026-04-28T13:32:00+00:00,,landed,,9,Tuesday,False,IST → SVO
2026-04-28,Turkish Airlines,TK,6572,Istanbul Airport,IST,2026-04-28T08:55:00+00:00,,,,BSZ,2026-04-28T16:50:00+00:00,,20.0,active,,8,Tuesday,False,IST → BSZ
2026-04-28,Qatar Airways,QR,238,Istanbul Airport,IST,2026-04-28T08:50:00+00:00,2026-04-28T09:09:00+00:00,,Doha International,DOH,2026-04-28T13:50:00+00:00,2026-04-28T12:33:00+00:00,,landed,,8,Tuesday,False,IST → DOH
2026-04-28,Turkmenistan Airlines,T5,912,Istanbul Airport,IST,2026-04-28T08:30:00+00:00,2026-04-28T08:29:00+00:00,,Ashgabat,ASB,2026-04-28T14:20:00+00:00,2026-04-28T13:49:00+00:00,,landed,,8,Tuesday,False,IST → ASB
2026-04-28,Turkish Airlines,TK,1831,Istanbul Airport,IST,2026-04-28T08:30:00+00:00,,,Charles De Gaulle,CDG,2026-04-28T11:20:00+00:00,,,,,8,Tuesday,False,IST → CDG
2026-04-28,Pegasus,PC,3307,Istanbul Airport,IST,2026-04-28T08:30:00+00:00,2026-04-28T08:28:00+00:00,,Adnan Menderes Airport,ADB,2026-04-28T09:35:00+00:00,,,,,8,Tuesday,False,IST → ADB
2026-04-28,Turkish Airlines,TK,2682,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T09:03:00+00:00,17.0,Batman,BAL,2026-04-28T10:25:00+00:00,2026-04-28T10:42:00+00:00,17.0,landed,,8,Tuesday,True,IST → BAL
2026-04-28,Turkish Airlines,TK,2606,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:39:00+00:00,,Diyarbakir,DIY,2026-04-28T10:25:00+00:00,2026-04-28T10:21:00+00:00,,landed,,8,Tuesday,False,IST → DIY
2026-04-28,Turkish Airlines,TK,2458,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:37:00+00:00,,Cukurova International Airport,COV,2026-04-28T10:05:00+00:00,2026-04-28T09:51:00+00:00,,landed,,8,Tuesday,False,IST → COV
2026-04-28,Turkish Airlines,TK,2410,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:41:00+00:00,,Antalya,AYT,2026-04-28T09:50:00+00:00,2026-04-28T09:38:00+00:00,,landed,,8,Tuesday,False,IST → AYT
2026-04-28,Turkish Airlines,TK,2012,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:34:00+00:00,,Erkilet International Airport,ASR,2026-04-28T09:55:00+00:00,,,active,,8,Tuesday,False,IST → ASR
2026-04-28,Turkish Airlines,TK,2848,Istanbul Airport,IST,2026-04-28T08:20:00+00:00,2026-04-28T08:36:00+00:00,,Ordu Giresun Airport,OGU,2026-04-28T10:05:00+00:00,,,active,,8,Tuesday,False,IST → OGU
2026-04-28,Turkish Airlines,TK,2820,Istanbul Airport,IST,2026-04-28T08:20:00+00:00,2026-04-28T08:35:00+00:00,,Trabzon,TZX,2026-04-28T10:10:00+00:00,2026-04-28T09:56:00+00:00,,landed,,8,Tuesday,False,IST → TZX
2026-04-28,Turkish Airlines,TK,2692,Istanbul Airport,IST,2026-04-28T08:20:00+00:00,2026-04-28T08:38:00+00:00,,Mus,MSR,2026-04-28T10:25:00+00:00,2026-04-28T10:20:00+00:00,,landed,,8,Tuesday,False,IST → MSR
2026-04-28,Turkish Airlines,TK,2674,Istanbul Airport,IST,2026-04-28T08:20:00+00:00,2026-04-28T08:25:00+00:00,,Mardin,MQM,2026-04-28T10:25:00+00:00,2026-04-28T10:02:00+00:00,,landed,,8,Tuesday,False,IST → MQM
2026-04-28,Turkish Airlines,TK,2222,Istanbul Airport,IST,2026-04-28T08:20:00+00:00,2026-04-28T08:31:00+00:00,,Gaziantep,GZT,2026-04-28T10:05:00+00:00,2026-04-28T09:57:00+00:00,,landed,,8,Tuesday,False,IST → GZT
2026-04-28,AirSERBIA,JU,8200,Istanbul Airport,IST,2026-04-28T08:20:00+00:00,2026-04-28T08:31:00+00:00,,Gaziantep,GZT,2026-04-28T10:05:00+00:00,2026-04-28T09:57:00+00:00,,landed,,8,Tuesday,False,IST → GZT
2026-04-28,ULS Airlines Cargo,GO,6503,Istanbul Airport,IST,2026-04-28T08:15:00+00:00,2026-04-28T08:33:00+00:00,12.0,Kastrup,CPH,2026-04-28T10:20:00+00:00,2026-04-28T10:32:00+00:00,12.0,landed,,8,Tuesday,False,IST → CPH
2026-04-28,Turkish Airlines,TK,2746,Istanbul Airport,IST,2026-04-28T08:15:00+00:00,2026-04-28T08:32:00+00:00,3.0,Ferit Melen Airport,VAN,2026-04-28T10:25:00+00:00,2026-04-28T10:28:00+00:00,3.0,landed,,8,Tuesday,False,IST → VAN
2026-04-28,Turkish Airlines,TK,2200,Istanbul Airport,IST,2026-04-28T08:15:00+00:00,2026-04-28T08:27:00+00:00,,Kahramanmaras,KCM,2026-04-28T10:00:00+00:00,,,,,8,Tuesday,False,IST → KCM
2026-04-28,British Airways,BA,721,Istanbul Airport,IST,2026-04-28T08:15:00+00:00,2026-04-28T08:16:00+00:00,,Heathrow,LHR,2026-04-28T10:30:00+00:00,2026-04-28T09:57:00+00:00,,landed,,8,Tuesday,False,IST → LHR
2026-04-28,American Airlines,AA,6612,Istanbul Airport,IST,2026-04-28T08:15:00+00:00,2026-04-28T08:16:00+00:00,,Heathrow,LHR,2026-04-28T10:30:00+00:00,2026-04-28T09:57:00+00:00,,landed,,8,Tuesday,False,IST → LHR
2026-04-28,Turkish Airlines,TK,2666,Istanbul Airport,IST,2026-04-28T08:10:00+00:00,2026-04-28T08:29:00+00:00,,Sirnak Serafettin Elci Airport,NKT,2026-04-28T10:25:00+00:00,,,active,,8,Tuesday,False,IST → NKT
2026-04-28,Turkish Airlines,TK,2658,Istanbul Airport,IST,2026-04-28T08:10:00+00:00,2026-04-28T08:20:00+00:00,,Sivas,VAS,2026-04-28T09:45:00+00:00,,,active,,8,Tuesday,False,IST → VAS
2026-04-28,Turkish Airlines,TK,2592,Istanbul Airport,IST,2026-04-28T08:10:00+00:00,2026-04-28T08:17:00+00:00,,Gazipasa Airport,GZP,2026-04-28T09:35:00+00:00,2026-04-28T09:18:00+00:00,,landed,,8,Tuesday,False,IST → GZP
2026-04-28,Thai Airways,TG,9334,Istanbul Airport,IST,2026-04-28T08:10:00+00:00,2026-04-28T08:17:00+00:00,,Gazipasa Airport,GZP,2026-04-28T09:35:00+00:00,2026-04-28T09:18:00+00:00,,landed,,8,Tuesday,False,IST → GZP
