iata_code,date,temp_max,temp_min,precipitation,wind_speed
BCN,2023-01-03,15.2,9.1,0.1,11.7
BCN,2023-01-04,15.1,7.1,0.0,13.8
BCN,2023-01-05,15.1,6.1,0.0,12.1
BCN,2023-01-06,13.6,5.0,0.0,12.3
BCN,2023-01-07,14.9,5.9,0.0,19.2
BCN,2023-01-08,14.4,9.7,0.8,23.5
BCN,2023-01-09,15.7,8.9,0.0,23.7
BCN,2023-01-10,13.5,6.8,0.0,20.0
FCO,2023-01-01,16.7,8.5,0.0,13.7
FCO,2023-01-02,16.1,9.1,0.2,15.3
FCO,2023-01-03,16.4,9.8,0.1,14.7
FCO,2023-01-04,15.6,8.9,0.0,14.0
FCO,2023-01-05,14.6,7.5,0.0,11.3
FCO,2023-01-06,15.6,9.9,1.7,12.0
FCO,2023-01-07,15.1,7.5,0.0,12.5
FCO,2023-01-08,15.4,8.1,1.1,26.0
FCO,2023-01-09,15.9,11.6,24.1,43.3
FCO,2023-01-10,14.4,6.2,0.0,31.3
MAD,2023-01-01,13.8,2.8,0.0,9.6
MAD,2023-01-02,11.6,6.6,0.9,8.0
MAD,2023-01-03,12.1,3.0,0.0,8.3
MAD,2023-01-04,11.9,0.2,0.0,8.7
MAD,2023-01-05,11.7,0.1,0.0,9.3
MAD,2023-01-06,10.1,-1.2,0.0,9.7
MAD,2023-01-07,8.3,-1.6,1.9,10.2
MAD,2023-01-08,13.5,8.2,12.9,28.7
MAD,2023-01-09,13.4,4.2,0.0,19.1
MAD,2023-01-10,11.6,0.7,0.0,8.9
DUB,2023-01-01,6.7,2.0,0.8,18.4
DUB,2023-01-02,5.9,1.5,0.0,20.2
DUB,2023-01-03,13.1,6.1,10.8,34.8
DUB,2023-01-04,13.0,9.6,0.1,33.7
DUB,2023-01-05,12.6,7.8,4.3,28.2
DUB,2023-01-06,11.2,5.8,0.4,29.0
DUB,2023-01-07,10.9,6.8,3.1,35.1
DUB,2023-01-08,8.2,4.8,0.9,35.4
DUB,2023-01-09,7.5,4.8,0.0,36.9
DUB,2023-01-10,14.1,5.3,15.9,38.8
CPH,2023-01-01,10.9,7.8,6.2,42.5
CPH,2023-01-02,9.7,5.7,8.6,28.4
CPH,2023-01-03,6.3,2.8,0.0,29.8
CPH,2023-01-04,9.1,3.0,19.8,33.9
CPH,2023-01-05,8.0,2.8,3.4,36.1
CPH,2023-01-06,6.3,2.2,12.5,46.0
CPH,2023-01-07,7.1,4.1,2.5,25.6
CPH,2023-01-08,6.8,5.4,2.1,30.4
CPH,2023-01-09,5.6,4.2,6.3,21.8
CPH,2023-01-10,6.2,3.8,0.0,29.2
ZRH,2023-01-01,13.7,5.6,0.0,15.1
ZRH,2023-01-02,12.9,4.8,1.0,9.0
ZRH,2023-01-03,7.8,3.6,2.4,8.1
ZRH,2023-01-04,8.8,2.0,0.3,21.6
ZRH,2023-01-05,10.9,4.3,4.2,22.6
ZRH,2023-01-06,9.0,2.5,0.3,14.4
ZRH,2023-01-07,6.5,1.2,0.0,7.4
ZRH,2023-01-08,6.3,-0.3,4.0,10.2
ZRH,2023-01-09,6.1,2.2,10.6,22.1
ZRH,2023-01-10,5.9,0.5,1.9,20.8
BRU,2023-01-01,15.4,10.9,4.0,34.3
BRU,2023-01-02,13.6,6.2,5.0,30.6
BRU,2023-01-03,8.9,4.2,0.4,31.1
BRU,2023-01-04,12.2,9.1,3.6,36.4
BRU,2023-01-05,11.1,9.3,0.7,25.4
BRU,2023-01-06,11.4,9.7,0.8,28.8
BRU,2023-01-07,10.9,8.2,0.6,30.9
BRU,2023-01-08,10.2,7.8,3.4,27.5
BRU,2023-01-09,8.2,5.4,2.0,31.0
BRU,2023-01-10,10.3,2.9,2.8,34.4
STN,2023-01-01,11.4,8.2,5.2,33.9
STN,2023-01-02,8.1,1.0,0.6,16.6
STN,2023-01-03,11.2,0.3,3.6,37.1
STN,2023-01-04,12.5,9.1,0.6,36.8
STN,2023-01-05,11.9,7.8,0.0,32.1
STN,2023-01-06,11.2,5.7,1.9,33.4
STN,2023-01-07,11.2,6.4,4.3,37.3
STN,2023-01-08,8.4,3.6,1.0,31.7
STN,2023-01-09,7.5,3.7,0.6,27.6
STN,2023-01-10,11.9,2.6,6.1,37.8
DXB,2023-01-01,23.8,18.0,0.0,15.8
DXB,2023-01-02,25.0,15.9,0.0,19.6
DXB,2023-01-03,24.1,16.9,1.5,16.6
DXB,2023-01-04,26.5,15.6,0.0,26.5
DXB,2023-01-05,27.2,17.8,0.0,25.7
DXB,2023-01-06,25.1,18.7,0.0,26.0
DXB,2023-01-07,22.0,17.3,2.9,15.9
DXB,2023-01-08,22.8,15.5,0.6,17.4
DXB,2023-01-09,22.8,17.6,0.0,14.6
DXB,2023-01-10,27.5,16.3,0.0,35.7
VIE,2023-01-01,6.1,0.4,0.0,12.2
VIE,2023-01-02,5.1,2.8,0.0,11.3
VIE,2023-01-03,9.4,1.5,0.7,13.8
VIE,2023-01-04,7.9,0.2,1.5,12.3
VIE,2023-01-05,12.9,6.5,0.7,30.6
VIE,2023-01-06,11.6,4.5,0.0,17.9
VIE,2023-01-07,11.6,4.1,0.0,17.7
VIE,2023-01-08,4.8,-0.2,0.0,16.3
VIE,2023-01-09,8.3,0.2,4.2,26.9
VIE,2023-01-10,8.2,3.8,4.7,33.5
YVR,2023-01-01,7.2,2.4,0.0,11.8
YVR,2023-01-02,5.3,0.5,0.0,10.6
YVR,2023-01-03,5.5,0.0,1.1,15.7
YVR,2023-01-04,7.8,2.7,0.0,15.5
YVR,2023-01-05,9.7,4.7,12.1,31.0
YVR,2023-01-06,9.8,6.3,1.7,23.5
YVR,2023-01-07,8.0,6.7,9.6,23.0
YVR,2023-01-08,7.2,3.1,15.1,22.2
YVR,2023-01-09,9.2,5.3,8.6,35.1
YVR,2023-01-10,11.4,4.9,7.3,19.3
SIN,2023-01-01,28.7,24.9,0.0,22.5
SIN,2023-01-02,30.1,24.4,0.0,26.6
SIN,2023-01-03,29.1,24.8,1.2,24.7
SIN,2023-01-04,29.0,24.1,0.2,28.5
SIN,2023-01-05,29.7,24.4,2.7,21.4
SIN,2023-01-06,29.0,24.6,2.8,19.5
SIN,2023-01-07,29.0,23.9,3.5,18.0
SIN,2023-01-08,30.5,23.9,0.5,17.6
SIN,2023-01-09,28.7,24.1,8.4,14.9
SIN,2023-01-10,28.6,24.2,3.7,14.5
NRT,2023-01-01,11.4,-0.3,0.0,15.3
NRT,2023-01-02,9.4,0.2,0.0,14.5
NRT,2023-01-03,9.5,-1.5,0.0,16.6
NRT,2023-01-04,9.1,-0.7,0.0,18.4
NRT,2023-01-05,8.2,0.6,0.0,24.8
NRT,2023-01-06,8.4,-1.0,0.0,11.5
NRT,2023-01-07,9.4,2.5,2.4,9.7
NRT,2023-01-08,10.8,-0.1,0.0,11.7
NRT,2023-01-09,12.9,1.5,0.0,11.7
NRT,2023-01-10,7.8,-0.8,1.2,33.2
LIS,2023-01-01,18.1,12.1,18.6,32.0
LIS,2023-01-02,14.6,8.2,0.0,11.2
LIS,2023-01-03,14.4,7.3,0.0,14.2
LIS,2023-01-04,14.1,7.2,0.0,14.3
LIS,2023-01-05,14.3,7.7,0.0,11.1
LIS,2023-01-06,15.1,7.3,0.0,10.6
LIS,2023-01-07,15.9,13.2,10.5,28.8
LIS,2023-01-08,16.8,14.6,3.5,26.4
LIS,2023-01-09,17.5,11.2,2.3,19.8
LIS,2023-01-10,16.8,12.7,1.6,12.1
YUL,2023-01-01,3.1,-0.3,5.5,17.5
YUL,2023-01-02,3.5,-1.2,1.2,15.0
YUL,2023-01-03,2.7,-1.1,0.0,14.3
YUL,2023-01-04,1.9,-3.4,3.7,29.8
YUL,2023-01-05,-1.8,-4.2,15.5,33.9
YUL,2023-01-06,1.4,-5.1,0.2,14.8
YUL,2023-01-07,1.0,-8.7,0.2,18.6
YUL,2023-01-08,-4.1,-11.2,0.0,16.5
YUL,2023-01-09,-0.1,-4.2,0.8,23.0
YUL,2023-01-10,-0.8,-9.9,0.0,21.4
ARN,2023-01-01,2.2,-5.6,0.0,15.3
ARN,2023-01-02,2.8,-5.9,6.1,15.3
ARN,2023-01-03,-0.3,-6.2,0.8,18.9
ARN,2023-01-04,-0.3,-7.3,2.2,19.3
ARN,2023-01-05,-0.2,-7.1,1.8,21.6
ARN,2023-01-06,-2.4,-7.3,1.2,24.0
ARN,2023-01-07,1.6,-3.5,3.0,20.7
ARN,2023-01-08,3.5,0.8,11.0,19.3
ARN,2023-01-09,3.3,1.3,1.8,14.8
ARN,2023-01-10,3.4,0.8,5.1,17.4
HKG,2023-01-01,14.7,11.6,6.2,19.5
HKG,2023-01-02,18.8,13.9,0.2,21.5
HKG,2023-01-03,18.2,12.8,0.0,24.5
HKG,2023-01-04,18.0,12.9,0.0,18.2
HKG,2023-01-05,21.1,14.2,0.0,16.2
HKG,2023-01-06,22.6,14.9,0.0,26.3
HKG,2023-01-07,20.7,14.5,0.0,18.3
HKG,2023-01-08,20.2,15.9,3.5,21.2
HKG,2023-01-09,20.4,16.3,2.5,15.0
HKG,2023-01-10,17.3,16.3,5.5,17.9
PRG,2023-01-01,15.2,7.9,0.0,19.6
PRG,2023-01-02,11.2,4.8,0.0,17.4
PRG,2023-01-03,9.6,2.0,0.1,20.5
PRG,2023-01-04,9.0,1.4,2.2,30.9
PRG,2023-01-05,10.6,6.6,2.4,34.8
PRG,2023-01-06,11.5,5.1,0.3,22.7
PRG,2023-01-07,10.1,3.3,0.0,14.9
PRG,2023-01-08,5.3,2.1,0.3,15.6
PRG,2023-01-09,7.8,1.0,0.6,23.5
PRG,2023-01-10,6.6,0.5,0.0,25.7
SYD,2023-01-01,25.2,19.0,0.7,21.1
SYD,2023-01-02,26.1,17.9,0.0,26.1
SYD,2023-01-03,26.4,18.4,0.0,21.5
SYD,2023-01-04,24.3,18.4,15.8,30.3
SYD,2023-01-05,21.2,17.0,25.6,36.6
SYD,2023-01-06,19.2,15.8,16.8,36.0
SYD,2023-01-07,21.6,17.1,3.0,26.8
SYD,2023-01-08,22.4,15.9,0.3,20.4
SYD,2023-01-09,24.4,13.5,0.0,18.2
SYD,2023-01-10,24.2,15.2,0.0,22.7
BKK,2023-01-01,29.9,17.9,0.0,12.0
BKK,2023-01-02,29.1,18.8,0.0,15.3
BKK,2023-01-03,31.9,19.9,0.0,14.3
BKK,2023-01-04,32.5,22.4,0.0,12.0
BKK,2023-01-05,32.4,21.3,0.0,13.8
BKK,2023-01-06,31.6,22.5,0.0,21.8
BKK,2023-01-07,29.0,21.8,0.0,18.0
BKK,2023-01-08,29.2,21.8,0.0,10.2
BKK,2023-01-09,31.6,22.5,0.0,15.3
BKK,2023-01-10,32.8,24.5,1.8,23.7
MXP,2023-01-01,8.7,7.1,3.5,6.6
MXP,2023-01-02,9.1,7.8,5.5,6.4
MXP,2023-01-03,9.9,8.1,5.0,5.0
MXP,2023-01-04,11.6,4.3,0.0,9.7
MXP,2023-01-05,12.4,3.5,0.0,12.6
MXP,2023-01-06,7.7,3.7,0.0,9.7
MXP,2023-01-07,7.6,5.8,0.4,6.7
MXP,2023-01-08,7.2,5.9,19.8,12.3
MXP,2023-01-09,10.4,4.6,0.8,16.6
MXP,2023-01-10,12.5,2.9,0.0,18.3
BUD,2023-01-01,13.2,4.7,0.0,12.2
BUD,2023-01-02,11.8,5.0,0.0,14.8
BUD,2023-01-03,9.9,3.8,0.3,12.7
BUD,2023-01-04,8.5,-0.1,0.1,16.4
BUD,2023-01-05,10.6,5.7,1.2,21.9
BUD,2023-01-06,9.6,3.5,0.0,20.9
BUD,2023-01-07,10.9,1.2,0.0,12.6
BUD,2023-01-08,10.4,3.8,0.1,20.3
BUD,2023-01-09,8.6,6.2,13.2,18.3
BUD,2023-01-10,6.2,4.6,19.7,26.7
ATH,2023-01-01,15.6,4.7,0.0,16.0
ATH,2023-01-02,15.6,4.3,0.0,12.4
ATH,2023-01-03,15.5,2.2,0.0,9.5
ATH,2023-01-04,15.6,3.7,0.0,10.3
ATH,2023-01-05,15.6,5.8,0.0,10.8
ATH,2023-01-06,16.9,4.6,0.0,8.6
ATH,2023-01-07,15.6,3.5,0.0,13.8
ATH,2023-01-08,14.9,4.0,0.0,13.6
ATH,2023-01-09,15.4,2.4,0.0,12.2
ATH,2023-01-10,14.3,8.1,4.2,36.4
OSL,2023-01-01,-2.2,-8.4,0.0,12.4
OSL,2023-01-02,-3.8,-7.9,0.8,11.3
OSL,2023-01-03,-7.8,-11.6,0.0,10.0
OSL,2023-01-04,-3.8,-9.9,10.9,18.8
OSL,2023-01-05,-3.0,-7.5,3.2,17.6
OSL,2023-01-06,-4.2,-7.5,15.1,16.5
OSL,2023-01-07,2.2,-4.1,8.1,9.4
OSL,2023-01-08,4.0,2.0,9.7,18.1
OSL,2023-01-09,2.0,0.5,3.3,12.2
OSL,2023-01-10,0.9,-1.1,0.4,8.7
MAN,2023-01-01,9.2,6.6,2.2,29.1
MAN,2023-01-02,6.3,1.6,1.5,15.9
MAN,2023-01-03,11.8,1.5,12.4,31.7
MAN,2023-01-04,12.1,9.6,5.3,27.2
MAN,2023-01-05,11.3,7.2,2.9,32.8
MAN,2023-01-06,11.2,6.0,4.0,30.7
MAN,2023-01-07,11.4,6.7,4.0,38.4
MAN,2023-01-08,7.8,3.6,1.6,30.6
MAN,2023-01-09,6.0,3.7,6.4,28.9
MAN,2023-01-10,12.2,3.9,13.3,38.9
ISL,2023-01-01,13.6,3.4,0.0,10.2
ISL,2023-01-02,10.4,3.5,0.0,11.9
ISL,2023-01-03,10.3,3.4,0.0,17.6
ISL,2023-01-04,11.7,6.8,0.2,15.8
ISL,2023-01-05,11.5,8.7,0.0,14.8
ISL,2023-01-06,12.7,8.9,1.4,20.7
ISL,2023-01-07,11.1,4.0,0.0,7.6
ISL,2023-01-08,11.9,2.3,0.0,12.5
ISL,2023-01-09,10.1,4.2,0.0,17.8
ISL,2023-01-10,13.0,5.7,1.5,26.9
HEL,2023-01-01,4.7,-4.8,0.1,19.7
HEL,2023-01-02,-0.4,-7.1,2.8,15.7
HEL,2023-01-03,0.2,-5.8,11.1,16.3
HEL,2023-01-04,-3.0,-9.2,0.3,13.3
HEL,2023-01-05,-8.7,-13.2,0.0,15.6
HEL,2023-01-06,-10.1,-16.0,0.0,11.5
HEL,2023-01-07,-6.8,-9.5,0.3,16.6
HEL,2023-01-08,-5.6,-9.1,3.4,18.1
HEL,2023-01-09,-3.5,-5.4,12.2,21.7
HEL,2023-01-10,2.2,-5.1,4.8,17.4
EDI,2023-01-01,4.8,-0.4,8.9,23.9
EDI,2023-01-02,4.0,-2.4,0.0,14.3
EDI,2023-01-03,8.5,-0.6,12.6,24.0
EDI,2023-01-04,12.0,5.1,3.8,40.7
EDI,2023-01-05,10.7,4.8,7.8,29.6
EDI,2023-01-06,8.5,4.7,1.1,45.5
EDI,2023-01-07,10.2,7.2,7.9,28.2
EDI,2023-01-08,7.9,3.9,0.4,30.7
EDI,2023-01-09,6.6,4.0,0.0,25.3
EDI,2023-01-10,12.3,4.7,6.5,38.9
PEK,2023-01-01,3.7,-5.3,0.0,17.7
PEK,2023-01-02,1.5,-6.9,0.0,15.6
PEK,2023-01-03,1.6,-7.6,0.0,11.6
PEK,2023-01-04,3.6,-8.5,0.0,11.8
PEK,2023-01-05,3.3,-7.9,0.0,7.0
PEK,2023-01-06,8.6,-6.6,0.0,22.7
PEK,2023-01-07,5.8,-5.4,0.0,11.2
PEK,2023-01-08,9.1,-4.5,0.0,19.8
PEK,2023-01-09,5.9,-3.8,0.0,14.5
PEK,2023-01-10,3.8,-5.8,0.0,8.6
GVA,2023-01-01,13.8,4.6,0.0,11.0
GVA,2023-01-02,13.8,3.2,3.4,11.8
GVA,2023-01-03,9.6,5.3,3.1,6.6
GVA,2023-01-04,8.1,0.5,0.1,7.2
GVA,2023-01-05,11.1,5.6,2.2,7.9
GVA,2023-01-06,8.2,2.2,0.0,6.0
GVA,2023-01-07,10.3,1.4,0.0,10.5
GVA,2023-01-08,7.5,1.5,18.0,9.8
GVA,2023-01-09,8.4,2.6,10.2,19.9
GVA,2023-01-10,6.9,2.7,1.7,12.8
